Original_Plate_Map_Name	well_position	broad_sample	conc_mmol
C-2113-01-D39-023	A01		
C-2113-01-D39-023	A02		
C-2113-01-D39-023	A03	BRD-K53488478-001-05-0	4.999999999999999
C-2113-01-D39-023	A04	BRD-K38687539-001-05-4	4.999999999999999
C-2113-01-D39-023	A05	BRD-A91249015-001-05-2	4.999999999999999
C-2113-01-D39-023	A06	BRD-K60728310-001-04-5	4.999999999999999
C-2113-01-D39-023	A07	BRD-K48168251-001-06-7	4.999999999999999
C-2113-01-D39-023	A08	BRD-A03727794-001-05-1	4.999999999999999
C-2113-01-D39-023	A09	BRD-K32196020-001-05-8	4.999999999999999
C-2113-01-D39-023	A10	BRD-A23540331-001-05-4	4.999999999999999
C-2113-01-D39-023	A11	BRD-K28627663-001-05-0	4.999999999999999
C-2113-01-D39-023	A12	BRD-K12123091-001-05-0	4.999999999999999
C-2113-01-D39-023	A13	BRD-K16904769-001-05-0	4.999999999999999
C-2113-01-D39-023	A14	BRD-A82593237-001-05-6	4.999999999999999
C-2113-01-D39-023	A15	BRD-K28467895-001-05-1	4.999999999999999
C-2113-01-D39-023	A16	BRD-K47706000-001-05-1	4.999999999999999
C-2113-01-D39-023	A17	BRD-K06318195-001-06-7	4.999999999999999
C-2113-01-D39-023	A18	BRD-A26785111-001-05-8	4.999999999999999
C-2113-01-D39-023	A19	BRD-A78322124-003-09-0	4.999999999999999
C-2113-01-D39-023	A20	BRD-K32308159-001-05-2	4.999999999999999
C-2113-01-D39-023	A21	BRD-K24177934-001-05-3	4.999999999999999
C-2113-01-D39-023	A22	BRD-K12881705-001-06-9	4.999999999999999
C-2113-01-D39-023	A23		
C-2113-01-D39-023	A24		
C-2113-01-D39-023	B01		
C-2113-01-D39-023	B02		
C-2113-01-D39-023	B03	BRD-K28885573-001-06-1	4.999999999999999
C-2113-01-D39-023	B04	BRD-K00867459-004-05-6	4.999999999999999
C-2113-01-D39-023	B05	BRD-K57745505-001-05-6	4.999999999999999
C-2113-01-D39-023	B06	BRD-A62272684-001-04-2	4.999999999999999
C-2113-01-D39-023	B07	BRD-K89359276-001-05-5	4.999999999999999
C-2113-01-D39-023	B08	BRD-K02579626-001-05-9	4.999999999999999
C-2113-01-D39-023	B09	BRD-K47367431-001-06-9	4.999999999999999
C-2113-01-D39-023	B10	BRD-K25545161-001-05-4	4.999999999999999
C-2113-01-D39-023	B11	BRD-K95396771-001-07-5	4.999999999999999
C-2113-01-D39-023	B12	BRD-K87656666-001-05-4	4.999999999999999
C-2113-01-D39-023	B13	BRD-A37203562-001-05-3	4.999999999999999
C-2113-01-D39-023	B14	BRD-K39066704-001-05-9	4.999999999999999
C-2113-01-D39-023	B15	BRD-A06899981-001-07-4	4.999999999999999
C-2113-01-D39-023	B16	BRD-A63863910-001-05-0	4.999999999999999
C-2113-01-D39-023	B17	BRD-K21283240-001-06-9	4.999999999999999
C-2113-01-D39-023	B18	BRD-K61597089-001-05-9	4.999999999999999
C-2113-01-D39-023	B19	BRD-K69809112-001-05-1	4.999999999999999
C-2113-01-D39-023	B20	BRD-K02567745-001-05-0	4.999999999999999
C-2113-01-D39-023	B21	BRD-K60975481-001-05-2	4.999999999999999
C-2113-01-D39-023	B22	BRD-A22625833-001-05-7	4.999999999999999
C-2113-01-D39-023	B23		
C-2113-01-D39-023	B24		
C-2113-01-D39-023	C01		
C-2113-01-D39-023	C02		
C-2113-01-D39-023	C03	BRD-K70397746-001-05-8	4.999999999999999
C-2113-01-D39-023	C04	BRD-A69110668-001-05-4	4.999999999999999
C-2113-01-D39-023	C05	BRD-A52434390-001-04-5	4.999999999999999
C-2113-01-D39-023	C06	BRD-K49967730-001-05-4	4.999999999999999
C-2113-01-D39-023	C07	BRD-K48670554-001-06-6	4.999999999999999
C-2113-01-D39-023	C08	BRD-K23596629-001-06-3	4.999999999999999
