well_position	broad_sample	conc_mmol
A01		
A02		
A03	BRD-K57901061-001-06-9	5.0
A04	BRD-K50451780-001-05-4	5.0
A05	BRD-K79931204-001-05-0	5.0
A06	BRD-K36262909-001-07-6	5.0
A07	BRD-K82011025-001-05-3	5.0
A08	BRD-K70838267-001-06-8	5.0
A09	BRD-K34654169-001-05-5	5.0
A10	BRD-A88022652-001-07-2	5.0
A11	BRD-K03223543-001-07-9	5.0
A12	BRD-K01990668-001-06-6	5.0
A13	BRD-K70032220-001-06-4	5.0
A14	BRD-K46976183-001-05-0	5.0
A15	BRD-K74541409-001-05-5	5.0
A16	BRD-K99043334-001-05-3	5.0
A17	BRD-K06654104-001-05-7	5.0
A18	BRD-A62693435-001-05-8	5.0
A19	BRD-K78412459-001-07-0	5.0
A20	BRD-K68607418-004-05-5	5.0
A21	BRD-K68443944-001-05-4	5.0
A22	BRD-K66803903-001-05-0	5.0
A23		
A24		
B01		
B02		
B03	BRD-K97414323-001-05-1	5.0
B04	BRD-K00052415-001-06-2	5.0
B05	BRD-K00888242-001-05-0	5.0
B06	BRD-K29961735-001-05-6	5.0
B07	BRD-K10929790-001-07-2	5.0
B08	BRD-A45667109-001-06-7	5.0
B09	BRD-K64069148-001-05-5	5.0
B10	BRD-K93194316-001-05-2	5.0
B11	BRD-K91804968-001-05-9	5.0
B12	BRD-K15718920-001-06-9	5.0
B13	BRD-K92576167-001-05-1	5.0
B14	BRD-K18126494-001-05-0	5.0
B15	BRD-K56008980-001-05-4	5.0
B16	BRD-K96605449-001-06-2	5.0
B17	BRD-K66008044-001-05-6	5.0
B18	BRD-A15911542-001-04-5	5.0
B19	BRD-K03978601-003-05-7	5.0
B20	BRD-K32936009-003-07-4	5.0
B21	BRD-K46864030-001-05-3	5.0
B22	BRD-K71912544-001-06-5	5.0
B23		
B24		
C01		
C02		
C03	BRD-K16569034-001-06-8	5.0
C04	BRD-K29165406-001-05-2	5.0
C05	BRD-K53045739-001-05-3	5.0
C06	BRD-K34676668-001-05-4	5.0
C07	BRD-K73062809-001-06-7	5.0
C08	BRD-K67591367-001-05-9	5.0
C09	BRD-K67831601-001-07-1	5.0
C10	BRD-K07418049-001-05-4	5.0
C11	BRD-K64592938-001-06-8	5.0
